code,species,n
ABMA,Abarema macradenia,44
ACDI,Acalypha diversifolia,1562
ACMA,Acalypha macrostachya,63
ADTR,Adelia triloba,121
AEPA,Aegiphila panamensis,26
ALCO,Alchornea costaricensis,271
ALED,Alibertia edulis,473
ALPS,Allophylus psilospermus,101
ALBL,Alseis blackiana,9113
AMGL,Amaioua glomerulata,19
ANEX,Anacardium excelsum,24
ANPA,Anaxagorea panamensis,940
ANIN,Andira inermis,275
ANAC,Annona acuminata,545
ANSP,Annona spraguei,84
APME,Apeiba membranacea,268
APTI,Apeiba tibourbou,45
APSI,Aphelandra sinclairiana,10
APSE,Appunia seibertii,4
ARBA,Ardisia bartlettii,7
ARFE,Ardisia fendleri,140
ARGU,Ardisia guianensis,22
ASCR,Aspidosperma cruentum,542
ASST,Astrocaryum standleyanum,133
ASGR,Astronium graveolens,135
ATRO,Attalea rostrata,32
BABA,Bactris barronis,13
BACT,Bactris coloniata,66
BACS,Bactris coloradonis,1
BAMA,Bactris major,102
BETO,Beilschmiedia tovarensis,2119
BRAL,Brosimum alicastrum,861
BRGU,Brosimum guianense,4
CALO,Calophyllum longifolium,2237
CAFR,Capparidastrum frondosum,2840
CAAC,Casearia aculeata,556
CAAR,Casearia arborea,108
CACO,Casearia commersoniana,23
CAGU,Casearia guianensis,13
CASY,Casearia sylvestris,136
CAEL,Cassipourea elliptica,1158
CAPL,Cavanillesia platanifolia,38
CEIN,Cecropia insignis,1381
CELO,Cecropia longipes,9
CEOB,Cecropia obtusifolia,298
CEOD,Cedrela odorata,8
CEPE,Ceiba pentandra,64
CESH,Celtis schippii,107
CESP,Cespedesia spathulata,2
CERA,Cestrum racemosum,4
CESC,Cestrum schlechtendalii,83
CHTE,Chamaedorea tepejilote,3
CHSC,Chamguava schippii,600
CHPA,Chimarrhis parviflora,3
CHEC,Chrysochlamys eclipes,432
CHAR,Chrysophyllum argenteum,819
CHCA,Chrysophyllum cainito,188
CITR,Cinnamomum triplinerve,92
CLDE,Clidemia dentata,44
COCO,Coccoloba coronata,189
COMA,Coccoloba manzinellensis,464
CORU,Cojoba rufescens,2
COGL,Colubrina glandulosa,3
COBR,Conostegia bracteata,6
COCI,Conostegia cinnamomea,94
COAL,Cordia alliodora,223
COBI,Cordia bicolor,736
COLA,Cordia lasiocalyx,1118
COCU,Coussarea curvigemmia,2063
COHE,Coutarea hexandra,3
CRBI,Croton billbergianus,634
CUAM,Cupania americana,76
CUCI,Cupania cinerea,19
CURU,Cupania rufescens,167
CUSE,Cupania seemannii,1649
DAUM,Damburneya umbrosa,103
DEAR,Dendropanax arboreus,72
DEPA,Desmopsis panamensis,11505
DIAR,Diospyros artanthifolia,131
DIOL,Dipteryx oleifera,63
DRST,Drypetes standleyi,2233
ELOL,Elaeis oleifera,24
ENSC,Enterolobium schomburgkii,14
