code,species,n
PIFI,Pipra filicauda,160
DIPI,Dixiphia pipra,150
PIAL,Pithys albifrons,138
HYME,Hypocnemoides melanopogon,129
GYLE,Gymnopithys leucaspis,129
WIPO,Willisornis poecilinotus,123
DEME,Dendrocincla merula,99
GLSP,Glyphorynchus spirurus,75
HYNA,Hylophylax naevius,63
LECO,Lepidothrix coronata,62
MYLU,Myrmoborus lugubris,61
MYAX,Myrmotherula axillaris,53
THNI,Thamnophilus nigrocinereus,50
DEFU,Dendrocincla fuliginosa,50
SCTU,Schiffornis turdina,50
MYMY,Myrmoborus myotherinus,48
KNPO,Knipolegus poecilocercus,48
THCA,Thamnomanes caesius,46
MYAS,Myrmotherula assimilis,44
XIOC,Xiphorhynchus ocellatus,42
MIOL,Mionectes oleagineus,39
MICO,Microbates collaris,36
XEMI,Xenops minutus,33
DEPI,Dendroplex picus,29
XEAT,Xenopipo atronitens,28
PHER,Phlegopsis erythroptera,25
XIOB,Xiphorhynchus obsoletus,24
TUFU,Turdus fumigatus,24
GEMO,Geotrygon montana,23
THFU,Thalurania furcata,23
HEFL,Heterocercus flavivertex,23
EPHA,Epinecrophylla haematonota,18
MYLO,Myrmotherula longipennis,17
EUPE,Eucometis penicillata,17
PHMA,Phaethornis malaris,16
PHCO,Pheugopedius coraya,16
HYHY,Hypocnemis hypoxantha,15
AUIN,Automolus infuscatus,15
RARU,Ramphotrigon ruficauda,15
CYRO,Cyanoloxia rothschildii,14
THMU,Thamnophilus murinus,13
PEMI,Percnostola minor,13
CEST,Certhiasomus stictolaemus,13
HEMI,Hemitriccus minor,13
FOCO,Formicarius colma,12
TUOC,Tunchiornis ochraceiceps,12
PHBO,Phaethornis bourcieri,11
THAE,Thamnophilus aethiops,11
PHPY,Philydor pyrrhodes,11
CEER,Ceratopipra erythrocephala,11
PHRR,Phaethornis rupurumii,10
MAFU,Malacoptila fusca,10
SACA,Sakesphorus canadensis,9
SCRU,Sclerurus rufigularis,9
COFL,Coereba flaveola,9
LERU,Leptotila rufaxilla,8
MONI,Monasa nigrifrons,8
APDI,Aprositornis disjuncta,8
MYME,Myrmotherula menetriesii,8
"NALO",Nasica longirostris,8
TEER,Terenotriccus erythrurus,8
TUAL,Turdus albicollis,8
GAAL,Galbula albirostris,7
DELO,Deconychura longicauda,7
COTO,Corythopis torquatus,7
FLME,Florisuga mellivora,6
CHNO,Chlorestes notata,6
MEMA,Megastictus margaritatus,6
SCMA,Schiffornis major,6
THAM,Thamnophilus amazonicus,5
MYLE,Myrmelastes leucostigma,5
SIGR,Sittasomus griseicapillus,5
DEKI,Dendroplex kienerii,5
SYRU,Synallaxis rutilans,5
ONCO,Onychorhynchus coronatus,5
PLPL,Platyrinchus platyrhynchos,5
TOSU,Tolmomyias sulphurescens,5
TOMA,Todirostrum maculatum,5
LAEU,Lathrotriccus euleri,5
HYCY,Hylocharis cyanus,4
CEEL,Celeus elegans,4
MYCH,Myrmotherula cherriei,4
DECE,Dendrocolaptes certhia,4
INSU,Inezia subflava,4
CNFU,Cnemotriccus fuscatus,4
MIBA,Microcerculus bambla,4
RACA,Ramphocelus carbo,4
NYLE,Nyctiprogne leucopyga,3
TRRU,Trogon rufus,3
BUTA,Bucco tamatia,3
MIGI,Micrastur gilvicollis,3
MYKL,Myrmotherula klagesi,3
RHCR,Rhegmatorhina cristata,3
CRGU,Cranioleuca gutturata,3
NECH,Neopelma chrysocephalum,3
HEZO,Hemitriccus zosterops,3
NYAL,Nyctidromus albicollis,2
HYSA,Hylocharis sapphirina,2
AMVE,Amazilia versicolor,2
CEGR,Celeus grammicus,2
SCNA,Sclateria naevia,2
HYMA,Hylopezus macularius,2
HYST,Hylexetastes stresemanni,2
PLCO,Platyrinchus coronatus,2
CNSU,Cnipodectes subbrunneus,2
MIMA,Mionectes macconnelli,2
MYTU,Myiarchus tuberculifer,2
PHLI,Philohydor lictor,2
CYAR,Cyphorhinus arada,2
RUMA,Rupornis magnirostris,1
GLHI,Glaucis hirsutus,1
PHRU,Phaethornis ruber,1
GAGA,Galbula galbula,1
BUCA,Bucco capensis,1
NOAM,Nonnula amaurocephala,1
MOAT,Monasa atra,1
MOMO,Monasa morphoeus,1
SENA,Selenidera nattereri,1
THAR,Thamnomanes ardesiacus,1
CETY,Cercomacroides tyrannina,1
COAU,Conopophaga aurita,1
CAPR,Campylorhamphus procurvoides,1
XIPR,Xiphocolaptes promeropirhynchus,1
AUOC,Automolus ochrolaemus,1
LAHY,Laniocera hypopyrra,1
LIVO,Lipaugus vociferans,1
MYGA,Myiopagis gaimardii,1
MYFE,Myiarchus ferox,1
TYME,Tyrannus melancholicus,1
CYGU,Cyclarhis gujanensis,1
HYSE,Hylophilus semicinereus,1
TRMU,Troglodytes musculus,1
ARTA,Arremon taciturnus,1
PANO,Parkesia noveboracensis,1
LALU,Lanio luctuosus,1
LACR,Lanio cristatus,1
CYCA,Cyanerpes caeruleus,1
SAGR,Saltator grossus,1
HARU,Habia rubica,1
