code,species,n
COFR,Corvus frugilegus,24
COCO,Corvus corone,24
FRCO,Fringilla coelebs,19
SYAT,Sylvia atricapilla,17
ALAR,Alauda arvensis,16
COPA,Columba palumbus,16
TUME,Turdus merula,14
PADO,Passer domesticus,10
COCO,Coturnix coturnix,7
STDE,Streptopelia decaocto,7
STTU,Streptopelia turtur,6
LUME,Luscinia megarhynchos Brehm,5
PAMA,Parus major,5
PHCO,Phylloscopus collybita,5
EMCI,Emberiza citrinella,5
STVU,Sturnus vulgaris,4
SYBO,Sylvia borin,3
CACA,Carduelis cannabina,3
TUPH,Turdus philomelos Brehm,2
TRTR,Troglodytes troglodytes,2
PIVI,Picus viridis,2
CACA,Carduelis carduelis,2
CACH,Carduelis chloris,1
MOFL,Motacilla flava,1
SARU,Saxicola rubetra,1
PRMO,Prunella modularis,1
HIPO,Hippolais polyglotta,1
PHPH,Phoenicurus phoenicurus,1
SYCU,Sylvia curruca,1
MOAL,Motacilla alba,1
PHTR,Phylloscopus trochilus,1
ERRU,Erithacus rubecula,1
CUCA,Cuculus canorus,1
SIEU,Sitta europaea,1
DEMA,Dendrocopos major,1
