n,code,species
1,AGCU,Aglaeactis cupripennis
5,AMHO,Amblycercus holosericeus
6,ANIG,Anisognathus igniventris
1,ANPA,Anairetes parulus
11,ATLA,Atlapetes latinuchus
24,BACO,Myiothlypis coronata
8,BANI,Myiothlypis nigrocristata
15,BUTO,Arremon assimilis
1,CADI,Catamblyrhynchus diadema
5,CAIN,Catamenia inornata
3,CIPL,Cistothorus platensis
1,COCI,Conirostrum cinereum
25,COIR,Coeligena iris
5,CRAN,Cranioleuca antisiensis
22,DICY,Diglossa cyanea
30,DIHU,Diglossa humeralis
2,DUTA,Dubusia taeniata
41,ERLU,Eriocnemis luciani
1,GRRF,Grallaria ruficapilla
7,GRRU,Grallaria rufula
1,GRSQ,Grallaria squamigera
7,HEGU,Hellmayrea gularis
5,HESU,Thlypopsis superciliaris
14,HEVI,Heliangelus viola
20,LALA,Lafresnaya lafresnayi
5,MASQ,Margarornis squamiger
1,MEST,Mecocerculus stictopterus
60,METY,Metallura tyrianthina
14,MYME,Myioborus melanocephalus
2,OCCI,Ochthoeca cinnamomeiventris
9,OCFR,Ochthoeca frontalis
1,PHUR,Phyllomyias uropygialis
1,PIRI,Colaptes rivolii
1,PTCY,Pterophanes cyanopterus
1,PYCI,Pyrrhomyias cinnamomeus
10,SCLA,Scytalopus latrans
11,SYAZ,Synallaxis azarae
2,TAVA,Tangara vassorii
1,THFL,Thripadectes flammulatus
9,THOR,Thlypopsis ornata
5,TRSO,Troglodytes solstitialis
7,ZOCA,Zonotrichia capensis
