AGCU,AMHO,ANIG,ANPA,ATLA,BACO,BANI,BUTO,CADI,CAIN,CIPL,COCI,COIR,CRAN,CYTU,DICY,DIHU,DUTA,ERLU,GLJA,GRRF,GRRU,GRSQ,HEGU,HESU,HEVI,LALA,LENU,LEVI,MASQ,MELE,MEST,METY,MYME,OCCI,OCFR,OCRU,PHUR,PIRI,PSBO,PTCY,PYCI,SCLA,SYAZ,TAVA,THFL,THOR,TRSO,TUFU,URAG,ZOCA,Site,Year
0,0,0,1,1,2,4,0,0,11,7,4,4,0,0,2,26,1,40,0,0,1,0,4,0,2,3,2,4,1,0,0,37,7,0,7,0,1,0,0,0,0,1,3,3,0,0,3,0,0,9,Shrubs,2010
0,0,1,4,1,2,2,1,0,12,1,2,8,0,0,12,32,0,42,0,0,0,0,3,1,1,5,1,5,4,1,0,42,5,0,6,0,0,0,0,4,0,3,12,2,0,0,1,0,0,8,Shrubs,2011
1,0,0,1,2,0,2,2,0,5,3,1,7,1,0,4,21,0,32,0,0,1,0,3,2,2,5,0,0,2,0,1,29,8,0,0,0,0,0,0,1,0,4,4,0,0,1,0,0,0,5,Shrubs,2012
0,0,3,5,4,0,3,1,0,10,5,1,5,0,0,9,40,2,24,0,0,0,0,0,0,3,5,1,0,4,1,0,26,10,0,2,0,0,0,0,1,0,1,13,6,0,3,1,1,0,6,Shrubs,2013
0,0,1,7,4,2,0,0,0,12,5,2,7,0,0,13,32,1,62,0,0,0,0,2,2,3,0,0,0,10,1,3,48,9,0,8,0,0,0,0,8,0,2,7,1,0,0,2,2,0,5,Shrubs,2014
0,1,1,4,0,1,5,2,0,3,6,0,3,1,0,6,20,3,36,0,0,7,0,1,2,6,1,0,0,4,0,0,45,3,0,9,0,0,0,1,2,0,5,9,0,0,0,2,0,0,5,Shrubs,2015
3,0,3,1,6,1,2,0,0,26,5,1,7,0,0,4,16,1,53,1,0,0,0,3,2,0,1,1,0,4,0,0,35,8,0,6,0,1,0,0,0,0,2,10,5,0,1,2,1,0,6,Shrubs,2016
5,0,4,6,4,0,1,0,0,17,8,3,3,0,1,8,37,1,48,0,0,1,0,0,0,1,12,0,24,0,2,0,46,7,0,3,0,1,0,2,3,0,2,9,0,0,1,2,0,0,6,Shrubs,2006
7,0,1,6,1,0,2,2,1,16,23,6,4,1,0,4,40,2,29,2,0,1,0,1,0,3,10,1,2,2,2,1,58,11,0,2,0,1,0,0,3,0,1,6,0,0,12,1,0,0,17,Shrubs,2007
2,0,1,5,3,1,2,0,0,2,8,1,9,0,0,3,16,1,31,2,0,1,0,0,2,1,3,0,0,6,2,0,30,7,0,3,0,0,0,0,2,0,1,7,0,0,0,4,1,0,3,Shrubs,2008
3,0,3,2,2,2,1,0,0,5,11,1,5,1,0,2,12,2,29,1,0,1,0,0,0,2,7,0,0,1,0,0,28,7,0,3,1,2,0,0,2,0,1,8,0,0,0,0,1,0,9,Shrubs,2009
