Raw data belonging to:,B,C,D
Temporal stability in species richness but reordering in species abundances within avian assemblages of a Tropical Andes conservation hot spot . Biotropica. 2021,,,
Metadata for data_sample tab,,,
Column,Entry,Entry expanded name,Value
A,AGCU,Aglaeactis cupripennis,Number of captures
B,AMHO,Amblycercus holosericeus,Number of captures
C,ANIG,Anisognathus igniventris,Number of captures
D,ANPA,Anairetes parulus,Number of captures
E,ATLA,Atlapetes latinuchus,Number of captures
F,BACO,Myiothlypis coronata,Number of captures
G,BANI,Myiothlypis nigrocristata,Number of captures
H,BUTO,Arremon assimilis,Number of captures
I,CADI,Catamblyrhynchus diadema,Number of captures
J,CAIN,Catamenia inornata,Number of captures
K,CIPL,Cistothorus platensis,Number of captures
L,COCI,Conirostrum cinereum,Number of captures
M,COIR,Coeligena iris,Number of captures
N,CRAN,Cranioleuca antisiensis,Number of captures
O,CYTU,Cyanolyca turcosa,Number of captures
P,DICY,Diglossa cyanea,Number of captures
Q,DIHU,Diglossa humeralis,Number of captures
R,DUTA,Dubusia taeniata,Number of captures
S,ERLU,Eriocnemis luciani,Number of captures
T,GLJA,Glaucidium jardinii,Number of captures
Y,GRRF,Grallaria ruficapilla,Number of captures
V,GRRU,Grallaria rufula,Number of captures
W,GRSQ,Grallaria squamigera,Number of captures
X,HEGU,Hellmayrea gularis,Number of captures
Y,HESU,Thlypopsis superciliaris,Number of captures
Z,HEVI,Heliangelus viola,Number of captures
AA,LALA,Lafresnaya lafresnayi,Number of captures
AB,LENU,Lesbia nuna,Number of captures
AC,LEVI,Lesbia victoriae,Number of captures
AD,MASQ,Margarornis squamiger,Number of captures
AE,MELE,Mecocerculus leucophrys,Number of captures
AF,MEST,Mecocerculus stictopterus,Number of captures
AG,METY,Metallura tyrianthina,Number of captures
AH,MYME,Myioborus melanocephalus,Number of captures
AI,OCCI,Ochthoeca cinnamomeiventris,Number of captures
AJ,OCFR,Ochthoeca frontalis,Number of captures
AK,OCRU,Ochthoeca frontalis,Number of captures
AL,PHUR,Phyllomyias uropygialis,Number of captures
AM,PIRI,Colaptes rivolii,Number of captures
AN,PSBO,Pseudocolaptes boissonneautii,Number of captures
AO,PTCY,Pterophanes cyanopterus,Number of captures
AP,PYCI,Pyrrhomyias cinnamomeus,Number of captures
AQ,SCLA,Scytalopus latrans,Number of captures
AR,SYAZ,Synallaxis azarae,Number of captures
AS,TAVA,Tangara vassorii,Number of captures
AT,THFL,Thripadectes flammulatus,Number of captures
AU,THOR,Thlypopsis ornata,Number of captures
AV,TRSO,Troglodytes solstitialis,Number of captures
AW,TUFU,Turdus fuscater,Number of captures
AX,URAG,Uromyias agilis,Number of captures
AY,ZOCA,Zonotrichia capensis,Number of captures
AZ,Site,"Shurbs, Intorduced forest, Native forest",Habitat type
BA,Year,2006-2016,Year of the sample
