country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
burundi,1.731,1.763,1.796,1.829,1.862,1.896,1.931,1.967,2.003,2.039,2.077,2.115,2.154,2.193,2.233,2.294,2.395,2.501,2.611,2.726,2.845,2.97,3.101,3.236,3.377,3.525,3.678,3.838,4.005,4.178,4.339,4.503,4.674,4.85,5.033,5.221,5.417,5.62,5.83,6.047,6.271,6.455,6.637,6.823,7.014,7.211,7.412,7.618,7.83,8.036,8.246,8.461,8.682,8.908,9.139,9.375,9.617,9.864,10.118,10.376,10.642,10.915,11.194,11.482,11.776,12.078,12.388,12.706,13.032,13.366,13.708,14.058,14.417,14.784,15.16,15.544,15.938,16.34,16.75,17.17,17.598,18.034,18.479,18.932,19.392,19.859,20.335,20.819,21.312,21.814,22.324,22.842,23.369,23.904,24.448,25,25.56,26.128,26.704,27.289,27.881
comoros,6.601,7.052,7.531,8.038,8.578,9.15,9.757,10.398,11.076,11.793,12.551,13.348,14.189,15.074,16.004,16.978,18,18.34,18.685,19.035,19.39,19.75,20.115,20.484,20.859,21.239,21.625,22.014,22.41,22.81,23.215,23.649,24.095,24.548,25.006,25.469,25.938,26.413,26.893,27.378,27.869,28.366,28.435,28.39,28.346,28.301,28.257,28.213,28.168,28.124,28.08,28.036,27.992,27.947,27.903,27.875,27.863,27.867,27.886,27.921,27.973,28.04,28.123,28.223,28.338,28.47,28.619,28.784,28.965,29.164,29.38,29.613,29.864,30.132,30.418,30.722,31.045,31.386,31.746,32.125,32.523,32.924,33.327,33.732,34.14,34.551,34.963,35.378,35.795,36.215,36.636,37.059,37.485,37.912,38.342,38.773,39.206,39.64,40.076,40.514,40.954
djibouti,39.81,40.836,41.871,42.911,43.958,45.011,46.07,47.129,48.193,49.258,50.325,51.448,52.619,53.787,54.952,56.109,57.26,58.404,59.54,60.664,61.777,62.878,63.968,65.04,66.099,67.142,68.17,69.178,70.169,71.141,72.096,73.028,73.942,74.504,74.715,74.925,75.134,75.341,75.548,75.753,75.957,76.114,76.161,76.207,76.254,76.3,76.347,76.393,76.439,76.485,76.532,76.578,76.624,76.67,76.716,76.761,76.807,76.853,76.899,76.944,76.999,77.064,77.138,77.222,77.314,77.417,77.528,77.648,77.777,77.915,78.062,78.217,78.38,78.552,78.732,78.92,79.115,79.318,79.528,79.745,79.969,80.2,80.437,80.68,80.929,81.184,81.436,81.685,81.932,82.176,82.417,82.656,82.893,83.127,83.358,83.587,83.813,84.036,84.258,84.476,84.692
eritrea,7.1,7.335,7.578,7.828,8.086,8.351,8.624,8.905,9.195,9.492,9.799,10.114,10.438,10.772,11.115,11.466,11.828,12.2,12.358,12.517,12.678,12.841,13.006,13.173,13.341,13.511,13.684,13.857,14.033,14.211,14.39,14.572,14.755,14.94,15.182,15.757,16.351,16.962,17.592,18.239,18.905,19.59,20.294,21.015,21.755,22.514,23.293,24.088,24.903,25.735,26.587,27.455,28.341,29.244,30.164,31.099,32.051,33.017,34,34.585,35.175,35.771,36.372,36.979,37.59,38.206,38.827,39.451,40.08,40.712,41.347,41.985,42.625,43.267,43.911,44.557,45.203,45.85,46.496,47.142,47.786,48.429,49.069,49.705,50.338,50.964,51.582,52.201,52.82,53.439,54.056,54.672,55.286,55.899,56.51,57.119,57.726,58.331,58.933,59.532,60.129
ethiopia,4.6,4.758,4.922,5.09,5.265,5.444,5.63,5.821,6.019,6.223,6.433,6.65,6.874,7.104,7.342,7.587,7.84,8.1,8.26,8.422,8.588,8.756,8.928,9.102,9.279,9.46,9.644,9.83,10.02,10.214,10.41,10.61,10.813,11.02,11.232,11.453,11.679,11.909,12.143,12.38,12.621,12.867,13.116,13.37,13.627,13.827,14.006,14.186,14.369,14.553,14.74,14.927,15.118,15.31,15.504,15.7,15.899,16.116,16.51,16.91,17.319,17.735,18.16,18.575,18.998,19.428,19.866,20.31,20.763,21.225,21.695,22.174,22.661,23.157,23.661,24.173,24.694,25.222,25.759,26.303,26.856,27.415,27.982,28.556,29.137,29.724,30.317,30.916,31.519,32.128,32.74,33.355,33.972,34.588,35.211,35.84,36.473,37.111,37.753,38.4,39.051
kenya,5.59,5.747,5.909,6.074,6.245,6.419,6.599,6.782,6.971,7.164,7.362,7.565,7.774,8.038,8.318,8.605,8.902,9.209,9.525,9.85,10.295,10.778,11.282,11.805,12.349,12.914,13.503,14.112,14.745,15.401,15.583,15.681,15.78,15.879,15.979,16.079,16.18,16.281,16.383,16.485,16.748,17.043,17.342,17.645,17.952,18.263,18.579,18.898,19.222,19.55,19.892,20.239,20.591,20.948,21.31,21.675,22.045,22.42,22.8,23.183,23.571,23.969,24.376,24.794,25.221,25.658,26.105,26.562,27.03,27.507,27.995,28.493,29.002,29.52,30.049,30.588,31.137,31.695,32.263,32.841,33.427,34.023,34.626,35.238,35.856,36.479,37.106,37.739,38.377,39.019,39.664,40.313,40.966,41.622,42.28,42.942,43.606,44.272,44.941,45.611,46.283
madagascar,7.8,8.049,8.307,8.57,8.842,9.122,9.409,9.704,10.008,10.32,10.642,10.971,11.309,11.657,12.014,12.379,12.747,13.074,13.41,13.751,14.1,14.526,14.964,15.411,15.869,16.334,16.755,17.184,17.622,18.068,18.524,18.988,19.461,19.943,20.434,20.933,21.442,21.959,22.487,23.021,23.566,24.119,24.681,25.251,25.536,25.796,26.058,26.321,26.586,26.853,27.121,27.391,27.663,27.936,28.211,28.814,29.425,30.043,30.67,31.301,31.938,32.58,33.227,33.878,34.534,35.193,35.856,36.522,37.191,37.861,38.534,39.207,39.882,40.556,41.231,41.904,42.577,43.247,43.915,44.579,45.24,45.895,46.544,47.185,47.817,48.451,49.086,49.721,50.356,50.991,51.626,52.26,52.894,53.526,54.158,54.788,55.416,56.043,56.668,57.291,57.911
malawi,3.506,3.586,3.668,3.751,3.837,3.924,4.013,4.104,4.197,4.292,4.39,4.489,4.59,4.694,4.8,4.908,5.018,5.249,5.505,5.773,6.053,6.345,6.651,6.97,7.304,7.652,8.015,8.394,8.636,8.841,9.05,9.263,9.481,9.704,9.931,10.163,10.4,10.641,10.934,11.243,11.56,11.885,12.218,12.558,12.907,13.263,13.629,14.002,14.384,14.522,14.61,14.698,14.786,14.875,14.964,15.054,15.144,15.235,15.326,15.429,15.544,15.672,15.812,15.966,16.132,16.313,16.506,16.714,16.937,17.174,17.427,17.695,17.98,18.28,18.598,18.933,19.286,19.658,20.048,20.457,20.886,21.335,21.804,22.293,22.802,23.32,23.847,24.381,24.924,25.474,26.033,26.599,27.173,27.755,28.345,28.942,29.546,30.158,30.777,31.402,32.035
mauritius,29.327,29.465,29.618,30.276,30.944,31.619,32.303,32.993,33.692,34.397,35.111,35.829,36.555,37.286,38.025,38.767,39.516,40.269,41.028,41.79,42.556,43.326,44.1,43.881,43.662,43.443,43.224,43.005,42.787,42.569,42.351,42.134,41.917,41.701,42.012,42.325,42.639,42.953,43.269,43.584,43.9,43.777,43.653,43.53,43.407,43.284,43.161,43.038,42.916,42.793,42.67,42.559,42.447,42.335,42.223,42.112,42,41.889,41.777,41.666,41.555,41.444,41.332,41.222,41.111,41,40.91,40.841,40.793,40.766,40.76,40.775,40.81,40.867,40.944,41.043,41.162,41.302,41.464,41.647,41.85,42.076,42.322,42.59,42.879,43.19,43.523,43.877,44.253,44.65,45.069,45.509,45.95,46.391,46.834,47.276,47.719,48.163,48.607,49.051,49.495
mayotte,8.52,9.115,9.747,10.417,11.128,11.881,12.679,13.52,14.409,15.346,16.333,17.368,18.456,19.596,20.79,22.033,23.33,23.775,24.227,24.683,25.146,25.614,26.089,26.568,27.053,27.544,28.041,28.542,29.049,29.562,30.08,30.651,31.23,31.814,32.405,32.999,33.6,34.207,34.819,35.435,36.057,36.683,37.813,39.014,40.23,41.458,42.699,43.945,45.201,46.463,47.731,48.998,50.269,50.326,50.279,50.232,50.185,50.137,49.781,49.368,48.954,48.541,48.128,47.715,47.336,46.989,46.676,46.395,46.148,45.933,45.751,45.602,45.486,45.403,45.352,45.334,45.349,45.397,45.477,45.59,45.735,45.914,46.125,46.369,46.647,46.957,47.3,47.675,48.084,48.525,48.966,49.408,49.85,50.291,50.733,51.175,51.616,52.057,52.498,52.939,53.379
