"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"PER",2001,86007.33957555153006198,54543256.02429026226902765
"PER",2002,80455.86554671109295005,50637736.4107624212942653
"PER",2003,73869.26967972165701517,46911083.223877235281801
"PER",2004,101309.45296160512684938,64451339.4651433844943340
"PER",2005,162995.55264516597966760,102239101.353634415118732
"PER",2006,88903.37225671217765346,57184647.0223608418446450
"PER",2007,115718.08094816579997203,73795210.000065320103418
"PER",2008,126648.99882241447755195,84179030.7336423508007653
"PER",2009,177910.88670441328568346,114352175.441544335917217
"PER",2010,142293.83821602934857198,92833721.541588200977953
"PER",2011,125253.51748516466508945,81381727.747689983867938
"PER",2012,275417.42370627911883182,174955316.4282230612812437
"PER",2013,209321.75542307513663660,135890694.2599373667390876
"PER",2014,205417.54904548004439055,130652799.936721343319735
"PER",2015,166449.30988682760941735,104988206.317759396402245
"PER",2016,230953.45026313688047945,144518021.094781915748838
"PER",2017,303216.79366880845919135,182944602.655141010948701
"PER",2018,211643.25036817378039631,134805945.686187827460796
"PER",2019,231172.95714825116221786,149312949.592432378995878
"PER",2020,278604.09826143252537095,178523779.561424157179820
"PER",2021,225105.75051461595280083,145564258.581214663846355
"PER",2022,236061.90280011814494530,152967937.086623886437353
"PER",2023,227601.34903011156204776,146111889.600022315430985
"PER",2024,268477.16865044677437395,165383892.376719582542693
