"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"RWA",2001,1516.76632078318521055,606077.399213189921586
"RWA",2002,941.49241296595853681,327541.918240516699697
"RWA",2003,1060.92756756182628322,436048.370656885355161
"RWA",2004,1121.68713196352519411,454974.824045064242185
"RWA",2005,821.92294115491977671,362546.941301701052229
"RWA",2006,745.53289974647512110,330205.922634329491863
"RWA",2007,1429.97672936732882055,645365.122454978364294
"RWA",2008,1100.55371885931985214,560294.259238227354874
"RWA",2009,1381.96545714518616615,730637.090755189179022
"RWA",2010,2450.38372834136254270,1235342.827883947864606
"RWA",2011,926.01149118821531299,540161.331188008193453
"RWA",2012,1090.91317506105969408,611261.766108105546324
"RWA",2013,2472.77868470220155641,1450536.715109909290478
"RWA",2014,2889.66629898740511092,1909621.210050418263464
"RWA",2015,2216.79813322272216230,1619677.961732364931016
"RWA",2016,2777.59499939311437888,2081850.520844153953025
"RWA",2017,2731.12546874516509881,2030917.799994948838242
"RWA",2018,4291.07537441494553691,3486762.972412708195798
"RWA",2019,2516.13981508587808412,2154477.122724789698641
"RWA",2020,3187.39401529724286588,2607036.278209026914566
"RWA",2021,2922.36228820050508727,2755178.099458560659209
"RWA",2022,2536.45060692872366623,2476343.166558633619602
"RWA",2023,3036.31925548650289523,2920439.395079194307134
"RWA",2024,3605.41794670364523274,3436394.154010264193219
