"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"BRA",2001,2746361.55670610413564286,1181142068.97202116881165968
"BRA",2002,3507049.44035898258632208,1608928884.2595666207324151
"BRA",2003,3248526.73442800787408048,1477287781.5648425088906574
"BRA",2004,3848770.78970870076129346,1879012460.5361616921385962
"BRA",2005,3486562.70549620461740643,1808841462.2001898453314924
"BRA",2006,2876804.74696718651036248,1458725211.144252693040841
"BRA",2007,2621820.17792643804288145,1273868947.623698110681427
"BRA",2008,2444308.03831688280100494,1241442163.8744582148618595
"BRA",2009,1817901.23275872048572535,941038553.323674532824465
"BRA",2010,2688896.17626596926073320,1386011788.539348244686200
"BRA",2011,1923363.69454661795042404,1035926451.0162017052171286
"BRA",2012,2918633.14102396325529346,1518361416.486919110891607
"BRA",2013,1945506.25269363381075194,1013760088.004257017728499
"BRA",2014,2693134.29548953124661579,1465520148.138277128615614
"BRA",2015,2222772.41753093384148173,1317035576.529650120754640
"BRA",2016,5378844.03454082114359639,3270385815.427100770359826
"BRA",2017,4519833.17143370305075413,2662921169.832147920599169
"BRA",2018,2948462.08026938042667580,1852394340.418273278303684
"BRA",2019,2696748.79925482539675521,1609668381.405732265580347
"BRA",2020,3291391.78652611725424161,1898283118.290794839641930
"BRA",2021,2991909.30595056159354579,2007751400.988824375447843
"BRA",2022,3308930.39154352748676770,2225994867.186358904255686
