"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"IDN",2001,744087.98910984744103669,491946199.3331709060964107
"IDN",2002,855275.86303372933875392,626768627.9863280254955563
"IDN",2003,544810.29664145722939817,430989148.5302251459523895
"IDN",2004,1289042.65705546679072764,968024406.539189360815830
"IDN",2005,1182441.78450057370132717,930708536.7860900909792235
"IDN",2006,1433150.23419092707353019,1010799018.4763688420209285
"IDN",2007,1387625.29248693293220330,1136253976.5384584340850173
"IDN",2008,1396251.28979239220327450,1015273791.4362507558929284
"IDN",2009,1944963.17245194238110692,1382802572.212189632225782
"IDN",2010,1279331.97455082409533956,1010439622.539635589400881
"IDN",2011,1543628.92250057111518757,1202731123.629778017566176
"IDN",2012,2260260.50460391243265570,1729740434.111816379939058
"IDN",2013,1139298.66876672698973335,848247534.638466903147137
"IDN",2014,1894360.72722876782719385,1374820099.578639693116081
"IDN",2015,1746470.53460299761789053,1247851120.685988213651237
"IDN",2016,2422071.53667219886974460,1783434183.313761342647277
"IDN",2017,1300719.37590373488651032,821748444.471345303011852
"IDN",2018,1218732.51605522464492983,756987918.754491909839004
"IDN",2019,1176884.14370229431606231,733379816.237712903859954
"IDN",2020,961587.94314016507972285,591004712.095137987470130
"IDN",2021,841391.39098463830457735,509814339.207067571023446
"IDN",2022,885238.41627381360540036,542547090.185633924783365
