"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"IDN",2001,114393.86503171677402393,110822630.9916889856248377
"IDN",2002,271744.91385887244433933,270890855.462958125242493
"IDN",2003,248435.97585151178984072,253833835.323967603532482
"IDN",2004,479153.04604944980391780,506938176.015876859796668
"IDN",2005,478404.27681738855394242,513784355.288593934997833
"IDN",2006,468380.57782301009444459,433706253.3370188197078106
"IDN",2007,525991.87531964609550354,565655755.465830310647302
"IDN",2008,469405.11454532032468532,432793167.109204745260904
"IDN",2009,683825.59417857884632198,647881602.428612439354171
"IDN",2010,540975.95418925508511840,578087664.257379835051202
"IDN",2011,613905.37412351649757263,657159509.358867208224299
"IDN",2012,855533.30106949561676759,850048462.3217394149652075
"IDN",2013,472991.71248497467921017,461051211.996319639269276
"IDN",2014,736796.65305855107950150,697011633.022680223903436
"IDN",2015,666636.79084451043254418,571212707.5492718387899520
"IDN",2016,928658.06532281510734067,825630873.1346101059466276
"IDN",2017,373254.63017135467945716,294961947.291245719811292
"IDN",2018,339888.12036423251305005,266795476.100610870205269
"IDN",2019,323646.37619395197908500,255309421.6792701246750195
"IDN",2020,270056.85830355314713149,211771941.503209528204127
"IDN",2021,202905.92416610889453567,156658728.588134930819501
"IDN",2022,230002.84433228203732199,175020467.333995060547102
"IDN",2023,292373.98194724961219134,219695928.843476884154961
"IDN",2024,258811.67949590529017964,194363004.959314782159498
