"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"MYS",2001,332497.42453449576940301,129631703.64895553468824825
"MYS",2002,312553.78733276591631350,139848487.5878006264543383
"MYS",2003,183911.21649570286163814,106010586.094597019659702
"MYS",2004,351801.54048565797491093,198310780.298045070426394
"MYS",2005,375419.86299066304101535,222414925.431130841929526
"MYS",2006,333901.39493923248234335,205366169.424307814074388
"MYS",2007,405158.51252411816260973,267481319.160196932351338
"MYS",2008,367972.32685242653528625,243683332.621868411962571
"MYS",2009,622780.37214226598625641,438307904.123456319277450
"MYS",2010,430607.47900891010556118,260682406.664107268092336
"MYS",2011,463078.37202888407551611,299776953.414268774581410
"MYS",2012,628171.04428605459027489,405114751.3389121826073505
"MYS",2013,333221.15377482300351330,189098457.266206569525344
"MYS",2014,645779.11683688795787484,369051236.062998357648439
"MYS",2015,454345.03406981182179534,252865147.794955250261420
"MYS",2016,565249.18177307007349107,305477480.747512036935435
"MYS",2017,483416.10861357014668127,253324384.455014685934283
"MYS",2018,437984.51802192623760547,224152840.513030203241727
"MYS",2019,395367.21820921672891477,197858396.064018879246092
"MYS",2020,268721.49173523342118178,130146786.045353075550013
"MYS",2021,277553.73267606957376682,133801627.376639019708502
