"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"MYS",2001,24068.03917452008993543,18900884.516314358159486
"MYS",2002,61819.66651296567212035,49004354.317474643033266
"MYS",2003,60415.79557518509548615,51618681.062845756711341
"MYS",2004,113421.74637249797602339,97059968.760686134818585
"MYS",2005,114495.83696582537532142,98197149.835559639617173
"MYS",2006,113080.48788819677552771,96836395.997268526245148
"MYS",2007,142068.42564963629858046,124212951.004994025199267
"MYS",2008,139245.97311551000770804,120835110.075491693971980
"MYS",2009,235834.52801191085733561,216902252.546971879651627
"MYS",2010,139646.66331440938698225,120205282.787941536847682
"MYS",2011,161190.57487908524522516,144509769.074976386922167
"MYS",2012,244306.69492989694514624,209791626.748595367714127
"MYS",2013,106041.00651656017406896,89587952.356510871064921
"MYS",2014,230428.60529594970474392,185476814.492456793293415
"MYS",2015,154354.10979397823761935,121605035.260544779466105
"MYS",2016,185215.02613388698391317,139269597.943858426593818
"MYS",2017,162416.57626845212138287,122925739.212909099061991
"MYS",2018,144570.96965433865076710,110246433.603805792065924
"MYS",2019,120179.55833394042837018,93849749.417764567064819
"MYS",2020,72976.72540047110750374,57503762.091589917761726
"MYS",2021,72234.41563670822291758,56343918.749537176138458
